file,slot,period,summary,eval,t_s,variable
SaltMassBalance.rdf,UB Salt Mass Balance.AgSaltLoadingAbvPowell,cy,sum,NA,NA,AgSaltLoadingAbvPowell
SaltMassBalance.rdf,UB Salt Mass Balance.AgSaltLoadingGreen,cy,sum,NA,NA,AgSaltLoadingGreen
SaltMassBalance.rdf,UB Salt Mass Balance.AgSaltLoadingSanJuan,cy,sum,NA,NA,AgSaltLoadingSanJuan
SaltMassBalance.rdf,UB Salt Mass Balance.AgSaltLoadingUppColo,cy,sum,NA,NA,AgSaltLoadingUppColo
SaltMassBalance.rdf,UB Salt Mass Balance.AgSaltLoadingExtraUppColo,cy,sum,NA,NA,AgSaltLoadingExtraUppColo
SaltMassBalance.rdf,UB Salt Mass Balance.AgSaltLoadingExtraGreen,cy,sum,NA,NA,AgSaltLoadingExtraGreen
SaltMassBalance.rdf,UB Salt Mass Balance.AgSaltLoadingExtraSanJuan,cy,sum,NA,NA,AgSaltLoadingExtraSanJuan
SaltMassBalance.rdf,UB Salt Mass Balance.AgSaltLoadingExtraAbvPowell,cy,sum,NA,NA,AgSaltLoadingExtraAbvPowell
SaltMassBalance.rdf,UB Salt Mass Balance.ExportSaltMass,cy,sum,NA,NA,ExportSaltMass
SaltMassBalance.rdf,UB Salt Mass Balance.ExportSaltMassExtra,cy,sum,NA,NA,ExportSaltMassExtra
SaltMassBalance.rdf,UB Salt Mass Balance.ExportSaltMassAbvPowell,cy,sum,NA,NA,ExportSaltMassAbvPowell
SaltMassBalance.rdf,UB Salt Mass Balance.ExportSaltMassGreen,cy,sum,NA,NA,ExportSaltMassGreen
SaltMassBalance.rdf,UB Salt Mass Balance.ExportSaltMassSanJn,cy,sum,NA,NA,ExportSaltMassSanJn
SaltMassBalance.rdf,UB Salt Mass Balance.ExportSaltMassUppColo,cy,sum,NA,NA,ExportSaltMassUppColo
SaltMassBalance.rdf,UB Salt Mass Balance.ExportSaltMassUppColoExtra,cy,sum,NA,NA,ExportSaltMassUppColoExtra
SaltMassBalance.rdf,UB Salt Mass Balance.ExportSaltMassGrnExtra,cy,sum,NA,NA,ExportSaltMassGrnExtra
SaltMassBalance.rdf,UB Salt Mass Balance.ExportSaltMassSanJnExtra,cy,sum,NA,NA,ExportSaltMassSanJnExtra
SaltMassBalance.rdf,UB Salt Mass Balance.ExportSaltMassAbvPowellExtra,cy,sum,NA,NA,ExportSaltMassAbvPowellExtra
SaltMassBalance.rdf,UB Salt Mass Balance.ReservoirSaltMassGrn,cy,sum,NA,NA,ReservoirSaltMassGrn
SaltMassBalance.rdf,UB Salt Mass Balance.ReservoirSaltMassOnlyPowell,cy,sum,NA,NA,ReservoirSaltMassOnlyPowell
SaltMassBalance.rdf,UB Salt Mass Balance.ReservoirSaltMassSanJn,cy,sum,NA,NA,ReservoirSaltMassSanJn
SaltMassBalance.rdf,UB Salt Mass Balance.UpperBasinSaltMass_Upper Basin Balance.Natural Inflow,cy,sum,NA,NA,UB_Natural_Inflow
